dataset,capacity_percent,metric,variant_a,variant_b,mean_delta,median_delta,bootstrap_ci95_low,bootstrap_ci95_high,n_paired_slots,seed
wiki2018,4.0,admission_precision,precision_only_cap020,cap_only_cap020,-0.0005061937990228051,0.0,-0.00176288591457522,0.0004232621267308313,89,42
wiki2018,4.0,selected_admissions_per_slot,precision_only_cap020,cap_only_cap020,15.011111111111111,0.0,-192.77777777777777,268.76666666666665,90,42
wiki2018,5.0,slot_hit_ratio,full_cap020,precision_only_cap020,0.00012333333333333703,0.0,-5.7333333333330225e-05,0.00031522222222223094,90,42
wiki2018,5.0,admission_hit_yield,full_cap020,precision_only_cap020,-0.003406545512338118,0.0,-0.026528359646866007,0.015040303178737339,90,42
wiki2018,5.0,pollution_proxy,full_cap020,precision_only_cap020,0.0008013813705874471,0.0,-0.0011929316741266618,0.00350437620538278,88,42
wiki2018,5.0,admission_precision,full_cap020,precision_only_cap020,7.143692165846238e-05,0.0,-0.0004926769643606167,0.0004963509495519619,89,42
wiki2018,5.0,selected_admissions_per_slot,full_cap020,precision_only_cap020,26.1,0.0,-60.888888888888886,139.96666666666667,90,42
wiki2018,5.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_uniform_cap020,-8.655555555555391e-05,-2.0000000000020002e-05,-0.00027377777777778326,8.455555555555624e-05,90,42
wiki2018,5.0,admission_hit_yield,full_cap020,precision_only_budget_matched_uniform_cap020,-0.002176316207562201,0.0,-0.02480971964276802,0.016442877430976055,90,42
wiki2018,5.0,pollution_proxy,full_cap020,precision_only_budget_matched_uniform_cap020,0.0002473986006086556,-0.0009651922297121973,-0.0016191803746651889,0.0028664713737686543,88,42
wiki2018,5.0,admission_precision,full_cap020,precision_only_budget_matched_uniform_cap020,0.00014186244510448181,0.0,-0.00043462004944179835,0.0005886829529088761,89,42
wiki2018,5.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_uniform_cap020,13.977777777777778,0.0,-71.84444444444445,132.12222222222223,90,42
wiki2018,5.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_random_cap020,0.00012333333333333703,0.0,-5.7333333333330225e-05,0.00031522222222223094,90,42
wiki2018,5.0,admission_hit_yield,full_cap020,precision_only_budget_matched_random_cap020,-0.003406545512338118,0.0,-0.026528359646866007,0.015040303178737339,90,42
wiki2018,5.0,pollution_proxy,full_cap020,precision_only_budget_matched_random_cap020,0.0008013813705874471,0.0,-0.0011929316741266618,0.00350437620538278,88,42
wiki2018,5.0,admission_precision,full_cap020,precision_only_budget_matched_random_cap020,7.143692165846238e-05,0.0,-0.0004926769643606167,0.0004963509495519619,89,42
wiki2018,5.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_random_cap020,26.1,0.0,-60.888888888888886,139.96666666666667,90,42
wiki2018,5.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,5.0,admission_hit_yield,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,5.0,pollution_proxy,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,88,42
wiki2018,5.0,admission_precision,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,89,42
wiki2018,5.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,5.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_permuted_cap020,0.04429300000000001,0.04083500000000001,0.0366237777777778,0.052550111111111145,90,42
wiki2018,5.0,admission_hit_yield,full_cap020,precision_only_budget_replay_permuted_cap020,-0.9223140069548628,-0.08923405846542251,-1.8405749254927704,-0.2547041360413571,90,42
wiki2018,5.0,pollution_proxy,full_cap020,precision_only_budget_replay_permuted_cap020,0.10286310487502472,0.05010486111874107,0.07312338614707228,0.13400290446135202,88,42
wiki2018,5.0,admission_precision,full_cap020,precision_only_budget_replay_permuted_cap020,-0.03155443185067092,-0.0089716396054955,-0.05177343959594796,-0.014813322233187442,89,42
wiki2018,5.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_permuted_cap020,0.0,-6.5,-705.3444444444444,704.3777777777777,90,42
wiki2018,5.0,slot_hit_ratio,precision_only_cap020,cap_only_cap020,0.0005285555555555494,0.0005350000000000077,1.5888888888874556e-05,0.0009758888888888873,90,42
wiki2018,5.0,admission_hit_yield,precision_only_cap020,cap_only_cap020,-0.022924212074565523,-0.0015588701289864781,-0.07798662436886986,0.017800611874726487,90,42
wiki2018,5.0,pollution_proxy,precision_only_cap020,cap_only_cap020,0.003289921479496766,0.0011086061357445387,-0.0012366499182112967,0.008579873497647742,88,42
wiki2018,5.0,admission_precision,precision_only_cap020,cap_only_cap020,-5.914434002321582e-05,1.2074611439004401e-05,-0.0011726075979713582,0.0008260331416681037,89,42
wiki2018,5.0,selected_admissions_per_slot,precision_only_cap020,cap_only_cap020,-22.844444444444445,-1.0,-269.02222222222224,270.9555555555556,90,42
wikipedia_september_2007,0.8,slot_hit_ratio,full_cap020,precision_only_cap020,5.737499999999285e-05,2.999999999997449e-05,-1.0625000000004382e-05,0.0001222499999999932,80,42
