dataset,capacity_percent,cache_size_objects,variant,hit_ratio,delta_hr_vs_full_cap020,total_selected_admissions,delta_selected_vs_full_cap020,selected_match_ratio_vs_full_cap020,admissions_per_1000_requests,hit_yield_per_admission,pollution_ratio,admission_precision,budget_match_mode,budget_match_multiplier,budget_replay_enabled,budget_replay_permuted,budget_replay_exact_slot_match_rate,budget_replay_clamp_rate,offline_diagnostic_control
wiki2018,5.0,100772,precision_only_budget_replay_permuted_cap020,0.560714,-0.044292999999999916,152591.0,0.0,1.0,16.954555555555554,0.4501682681225756,0.7061992478974717,0.058455884774204596,slot_replay_permuted,1.0156347758948896,True,True,1.0,0.0,True
wiki2018,5.0,100772,precision_only_cap020,0.6048836666666667,-0.00012333333333325314,150242.0,-2349.0,0.9846059072946635,16.693555555555555,0.43848761861454205,0.7081630878901156,0.05937581500478136,off,1.0,,,,,
wikipedia_september_2007,0.8,12221,full_cap020,0.633066625,0.0,26571.0,0.0,1.0,3.321375,2.6571929289850655,0.43812861932337704,0.17768972874123742,off,1.0,,,,,
wikipedia_september_2007,0.8,12221,precision_only_budget_matched_permuted_quality_cap020,0.633073,6.375000000002906e-06,27979.0,1408.0,1.0529901019908923,3.497375,2.5437879664448944,0.4413147237489152,0.17450101243853053,off,1.0,,,,,
wikipedia_september_2007,0.8,12221,precision_only_budget_matched_random_cap020,0.632543,-0.0005236250000000275,28010.0,1439.0,1.0541567874750668,3.50125,2.5363889189872504,0.4405316574565681,0.17354715209304006,random_slot_throttle,0.8398710370768404,False,False,,,False
wikipedia_september_2007,0.8,12221,precision_only_budget_matched_uniform_cap020,0.632373625,-0.0006929999999999437,28351.0,1780.0,1.066990327800986,3.543875,2.5058760683760686,0.4409188034188034,0.17204415954415955,uniform,0.8398710370768404,False,False,,,False
wikipedia_september_2007,0.8,12221,precision_only_budget_replay_cap020,0.63307325,6.625000000037851e-06,26571.0,0.0,1.0,3.321375,2.6573072234074977,0.4382429137458092,0.1778040231636696,slot_replay,0.8398710370768404,True,False,1.0,0.0,True
wikipedia_september_2007,0.8,12221,precision_only_budget_replay_permuted_cap020,0.6176555,-0.01541112499999997,26571.0,0.0,1.0,3.321375,2.683231249277707,0.4470511190723834,0.1796294156169344,slot_replay_permuted,0.8398710370768404,True,True,1.0,0.0,True
wikipedia_september_2007,0.8,12221,precision_only_cap020,0.63300925,-5.7375000000026155e-05,31637.0,5066.0,1.1906589891234804,3.954625,2.2888484383981607,0.4511400651465798,0.16385642204764642,off,1.0,,,,,
wikipedia_september_2007,1.0,15277,full_cap020,0.64135175,0.0,33765.0,0.0,1.0,4.220625,2.1426730210113,0.48832539040254175,0.151635044810119,off,1.0,,,,,
wikipedia_september_2007,1.0,15277,precision_only_budget_matched_permuted_quality_cap020,0.641289375,-6.237499999994789e-05,34882.0,1117.0,1.0330815933659114,4.36025,2.0863399071925754,0.488254060324826,0.1490429234338747,off,1.0,,,,,
wikipedia_september_2007,1.0,15277,precision_only_budget_matched_random_cap020,0.6404585,-0.0008932499999999566,35048.0,1283.0,1.0379979268473272,4.381,2.0688679789874733,0.4943427812734515,0.14587542573457254,random_slot_throttle,0.8537294563843236,False,False,,,False
wikipedia_september_2007,1.0,15277,precision_only_budget_matched_uniform_cap020,0.640626875,-0.0007248749999999582,35641.0,1876.0,1.055560491633348,4.455125,2.041985381608023,0.49056603773584906,0.14638223128789166,uniform,0.8537294563843236,False,False,,,False
wikipedia_september_2007,1.0,15277,precision_only_budget_replay_cap020,0.641354875,3.124999999992717e-06,33765.0,0.0,1.0,4.220625,2.1426730210113,0.48835536372628363,0.15169499145760273,slot_replay,0.8537294563843236,True,False,1.0,0.0,True
wikipedia_september_2007,1.0,15277,precision_only_budget_replay_permuted_cap020,0.626882875,-0.014468875000000048,33765.0,0.0,1.0,4.220625,2.136844338050362,0.5079543044150178,0.1473288688221569,slot_replay_permuted,0.8537294563843236,True,True,1.0,0.0,True
wikipedia_september_2007,1.0,15277,precision_only_cap020,0.641,-0.000351749999999984,39550.0,5785.0,1.1713312601806605,4.94375,1.86878001430469,0.5048022887503831,0.138167977929907,off,1.0,,,,,
wikipedia_september_2007,2.0,30554,full_cap020,0.670713,0.0,69075.0,0.0,1.0,8.634375,1.1035978789605154,0.6415121901339527,0.08212454533502783,off,1.0,,,,,
wikipedia_september_2007,2.0,30554,precision_only_budget_matched_permuted_quality_cap020,0.6707115,-1.4999999999876223e-06,69076.0,1.0,1.0000144770177344,8.6345,1.1037278331239593,0.6414882117502703,0.08209413070787928,off,1.0,,,,,
wikipedia_september_2007,2.0,30554,precision_only_budget_matched_random_cap020,0.670714125,1.125000000046228e-06,69076.0,1.0,1.0000144770177344,8.6345,1.1037424406205265,0.641415174267434,0.08212334570101376,random_slot_throttle,0.9999855231918466,False,False,,,False
wikipedia_september_2007,2.0,30554,precision_only_budget_matched_uniform_cap020,0.670714125,1.125000000046228e-06,69076.0,1.0,1.0000144770177344,8.6345,1.1037424406205265,0.641415174267434,0.08212334570101376,uniform,0.9999855231918466,False,False,,,False
wikipedia_september_2007,2.0,30554,precision_only_budget_replay_cap020,0.67071475,1.7500000000225668e-06,69075.0,0.0,1.0,8.634375,1.1037585637699578,0.6414391515842062,0.08212454533502783,slot_replay,0.9999855231918466,True,False,1.0,0.0,True
wikipedia_september_2007,2.0,30554,precision_only_budget_replay_permuted_cap020,0.655617375,-0.015095625000000057,69075.0,0.0,1.0,8.634375,1.0973322034888817,0.6499722408906291,0.0807351780966017,slot_replay_permuted,0.9999855231918466,True,True,1.0,0.0,True
wikipedia_september_2007,2.0,30554,precision_only_cap020,0.6707115,-1.4999999999876223e-06,69076.0,1.0,1.0000144770177344,8.6345,1.1037278331239593,0.6414882117502703,0.08209413070787928,off,1.0,,,,,
wikipedia_september_2007,3.0,45831,full_cap020,0.689954625,0.0,82046.0,0.0,1.0,10.25575,0.9287432794049051,0.6877224854540545,0.06817568065205117,off,1.0,,,,,
wikipedia_september_2007,3.0,45831,precision_only_budget_matched_permuted_quality_cap020,0.6899735,1.8874999999973774e-05,82102.0,56.0,1.000682543938766,10.26275,0.9282402296312652,0.6877529991904026,0.06820244841883173,off,1.0,,,,,
wikipedia_september_2007,3.0,45831,precision_only_budget_matched_random_cap020,0.6899945,3.987499999991151e-05,82221.0,175.0,1.002132949808644,10.277625,0.9270587082470817,0.6879999020100195,0.06815203145478375,random_slot_throttle,0.9978473176605086,False,False,,,False
wikipedia_september_2007,3.0,45831,precision_only_budget_matched_uniform_cap020,0.689981625,2.6999999999999247e-05,82145.0,99.0,1.0012066401774615,10.268125,0.9277631336970514,0.6878930913994973,0.06819101330227426,uniform,0.9978473176605086,False,False,,,False
wikipedia_september_2007,3.0,45831,precision_only_budget_replay_cap020,0.689955875,1.2499999999526779e-06,82046.0,0.0,1.0,10.25575,0.9287678295239732,0.6876979353349864,0.06822478089018731,slot_replay,0.9978473176605086,True,False,1.0,0.0,True
wikipedia_september_2007,3.0,45831,precision_only_budget_replay_permuted_cap020,0.66747175,-0.022482875000000013,82046.0,0.0,1.0,10.25575,0.9272533058307857,0.6916522401070635,0.06778641325033458,slot_replay_permuted,0.9978473176605086,True,True,1.0,0.0,True
wikipedia_september_2007,3.0,45831,precision_only_cap020,0.689992625,3.799999999998249e-05,82223.0,177.0,1.0021573263778856,10.277875,0.9269747559496834,0.688019793491175,0.06812586504660534,off,1.0,,,,,
wikipedia_september_2007,4.0,61109,full_cap020,0.703298875,0.0,93518.0,0.0,1.0,11.68975,0.8177564564532264,0.7167120222869989,0.059471436715464294,off,1.0,,,,,
wikipedia_september_2007,4.0,61109,precision_only_budget_matched_permuted_quality_cap020,0.703415,0.00011612500000002246,94425.0,907.0,1.009698667636177,11.803125,0.8107716562273638,0.7176062039285867,0.05908858494183817,off,1.0,,,,,
wikipedia_september_2007,4.0,61109,precision_only_budget_matched_random_cap020,0.703434875,0.000136000000000025,94036.0,518.0,1.0055390406125024,11.7545,0.8137942837583433,0.7174182782817046,0.059312425124080095,random_slot_throttle,0.9887295948574811,False,False,,,False
wikipedia_september_2007,4.0,61109,precision_only_budget_matched_uniform_cap020,0.703337375,3.850000000005238e-05,94071.0,553.0,1.0059133001133471,11.758875,0.8134877355060841,0.7174354697290477,0.05917324265948119,uniform,0.9887295948574811,False,False,,,False
wikipedia_september_2007,4.0,61109,precision_only_budget_replay_cap020,0.703303125,4.250000000038945e-06,93518.0,0.0,1.0,11.68975,0.8177349439060332,0.7166797534662092,0.059471436715464294,slot_replay,0.9887295948574811,True,False,1.0,0.0,True
wikipedia_september_2007,4.0,61109,precision_only_budget_replay_permuted_cap020,0.674389875,-0.028908999999999963,93518.0,0.0,1.0,11.68975,0.8157755995739232,0.7215114965408163,0.059284922692891186,slot_replay_permuted,0.9887295948574811,True,True,1.0,0.0,True
wikipedia_september_2007,4.0,61109,precision_only_cap020,0.703440375,0.0001415000000000166,94584.0,1066.0,1.0113988750828717,11.823,0.8096347104801404,0.7179135428297975,0.059031211782846815,off,1.0,,,,,
wikipedia_september_2007,5.0,76386,full_cap020,0.713058875,0.0,106595.0,0.0,1.0,13.324375,0.7215382004676069,0.7422788294743193,0.05307715513990497,off,1.0,,,,,
wikipedia_september_2007,5.0,76386,precision_only_budget_matched_permuted_quality_cap020,0.713070375,1.1500000000053134e-05,108738.0,2143.0,1.0201041324639992,13.59225,0.7084877327542393,0.7454511851406921,0.05219239476967149,off,1.0,,,,,
wikipedia_september_2007,5.0,76386,precision_only_budget_matched_random_cap020,0.71298475,-7.412500000003597e-05,107788.0,1193.0,1.0111918945541536,13.4735,0.7136531021302382,0.7450706194937771,0.05258005873304433,random_slot_throttle,0.9793374003160487,False,False,,,False
wikipedia_september_2007,5.0,76386,precision_only_budget_matched_uniform_cap020,0.71300725,-5.162499999999959e-05,107575.0,980.0,1.0091936770017356,13.446875,0.7158296902439936,0.7433770504054105,0.052712700369913684,uniform,0.9793374003160487,False,False,,,False
wikipedia_september_2007,5.0,76386,precision_only_budget_replay_cap020,0.713054625,-4.2499999999279225e-06,106595.0,0.0,1.0,13.324375,0.7215287729089674,0.7422505467984011,0.05306772758126556,slot_replay,0.9793374003160487,True,False,1.0,0.0,True
wikipedia_september_2007,5.0,76386,precision_only_budget_replay_permuted_cap020,0.679720625,-0.033338250000000014,106595.0,0.0,1.0,13.324375,0.7189377292831748,0.7475786753680319,0.05214217678734781,slot_replay_permuted,0.9793374003160487,True,True,1.0,0.0,True
wikipedia_september_2007,5.0,76386,precision_only_cap020,0.713071875,1.3000000000040757e-05,108844.0,2249.0,1.0210985505886767,13.6055,0.7079236713102722,0.7455248751396313,0.05215978434467924,off,1.0,,,,,
